127.0.0.1 - - [22/Oct/2022:17:25:06 +0700] "GET /favicon.ico HTTP/1.1" 200 318 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:25:26 +0700] "POST /api/upload/save HTTP/1.1" 500 1027 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:25:58 +0700] "GET /signup HTTP/1.1" 404 7553 "http://127.0.0.1/signin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:25:58 +0700] "GET /debug/default/toolbar?tag=6353c53630aea HTTP/1.1" 200 3453 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:25:58 +0700] "GET /assets/f5eaced4/css/bootstrap.css.map HTTP/1.1" 200 608416 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:26:19 +0700] "POST /api/upload/save HTTP/1.1" 200 14 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:55 +0700] "GET /signup HTTP/1.1" 404 7550 "http://127.0.0.1/signin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:55 +0700] "GET /assets/f5eaced4/css/bootstrap.css HTTP/1.1" 200 237994 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:56 +0700] "GET /css/site.css HTTP/1.1" 200 7782 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:56 +0700] "GET /assets/59c4b2c8/jquery.js HTTP/1.1" 200 289812 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:56 +0700] "GET /assets/266ebee5/yii.js HTTP/1.1" 200 20953 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:56 +0700] "GET /app.js HTTP/1.1" 200 1059983 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:56 +0700] "GET /debug/default/toolbar?tag=6353c7c7ce4f1 HTTP/1.1" 200 3451 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:56 +0700] "GET /assets/f5eaced4/css/bootstrap.css.map HTTP/1.1" 200 608416 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:56 +0700] "GET /app/app_src_views_SignUpView_vue.js HTTP/1.1" 200 61620 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:36:57 +0700] "GET /favicon.ico HTTP/1.1" 200 318 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:37:40 +0700] "GET /signup HTTP/1.1" 404 7551 "http://127.0.0.1/signin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:37:40 +0700] "GET /assets/f5eaced4/css/bootstrap.css HTTP/1.1" 200 237994 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:37:40 +0700] "GET /css/site.css HTTP/1.1" 200 7782 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:37:40 +0700] "GET /assets/59c4b2c8/jquery.js HTTP/1.1" 200 289812 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
127.0.0.1 - - [22/Oct/2022:17:37:40 +0700] "GET /assets/266ebee5/yii.js HTTP/1.1" 200 20953 "http://127.0.0.1/signup" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
